Dataset Name,Number of Nodes,Algorithm,Total Distance,Execution Time,Memory Usage
eil51,51,Twice Around the Tree,752.9811180392962,0.003773,57.484375
berlin52,52,Twice Around the Tree,12163.261083281763,0.003573,58.109375
st70,70,Twice Around the Tree,1132.4138856166533,0.00697,58.859375
eil76,76,Twice Around the Tree,944.6613585291241,0.00683,59.484375
pr76,76,Twice Around the Tree,174435.5986281863,0.005975,60.234375
rat99,99,Twice Around the Tree,2229.46035079504,0.008751,61.734375
kroA100,100,Twice Around the Tree,37544.34640840174,0.00973,62.359375
kroB100,100,Twice Around the Tree,38513.919067745774,0.009563,62.609375
kroC100,100,Twice Around the Tree,36804.647617814626,0.009177,63.859375
kroD100,100,Twice Around the Tree,37193.43128017248,0.009789,65.359375
kroE100,100,Twice Around the Tree,38448.79012758631,0.011592,66.859375
rd100,100,Twice Around the Tree,13926.548640416868,0.011192,66.859375
eil101,101,Twice Around the Tree,1124.5145244224475,0.009625,66.984375
lin105,105,Twice Around the Tree,26120.885288625614,0.011547,67.484375
pr107,107,Twice Around the Tree,69514.92767519629,0.010966,67.484375
pr124,124,Twice Around the Tree,101070.9462612498,0.013746,67.484375
bier127,127,Twice Around the Tree,189435.2285537435,0.018799,67.484375
ch130,130,Twice Around the Tree,10328.105599922026,0.017685,67.484375
pr136,136,Twice Around the Tree,177932.35452113333,0.016019,67.484375
pr144,144,Twice Around the Tree,98928.91001854536,0.018397,67.484375
ch150,150,Twice Around the Tree,11761.911661719738,0.020103,67.484375
kroA150,150,Twice Around the Tree,47114.79534148968,0.020273,67.734375
kroB150,150,Twice Around the Tree,45608.43396933002,0.018249,67.734375
pr152,152,Twice Around the Tree,118336.89296684194,0.018894,68.484375
u159,159,Twice Around the Tree,74309.11476881456,0.021609,68.484375
rat195,195,Twice Around the Tree,4329.58663098563,0.033013,70.859375
d198,198,Twice Around the Tree,23534.22900884072,0.033618,71.359375
kroA200,200,Twice Around the Tree,51865.16786521273,0.033243,71.484375
kroB200,200,Twice Around the Tree,52407.30866768744,0.033819,71.609375
ts225,225,Twice Around the Tree,224000.0,0.042014,72.59375
tsp225,225,Twice Around the Tree,7031.400469472143,0.041292,73.8671875
pr226,226,Twice Around the Tree,137279.9195455958,0.040203,74.78125
gil262,262,Twice Around the Tree,4206.217170816099,0.097918,75.90625
pr264,264,Twice Around the Tree,82284.48527031398,0.056826,79.4375
a280,280,Twice Around the Tree,4877.133481924452,0.103597,79.7734375
pr299,299,Twice Around the Tree,84986.47217959746,0.121615,83.16015625
lin318,318,Twice Around the Tree,75837.73219163908,0.128726,85.7734375
linhp318,318,Twice Around the Tree,75837.73219163908,0.130533,84.90234375
rd400,400,Twice Around the Tree,27263.48287754133,0.19586,97.6015625
fl417,417,Twice Around the Tree,20425.59373775439,0.206998,102.9296875
pr439,439,Twice Around the Tree,184387.8079685624,0.213232,103.72265625
pcb442,442,Twice Around the Tree,92724.78106330859,0.220337,108.66796875
d493,493,Twice Around the Tree,58569.10196601602,0.309389,109.796875
u574,574,Twice Around the Tree,64213.67365816696,0.433342,127.5625
rat575,575,Twice Around the Tree,12524.853343776509,0.421446,125.72265625
p654,654,Twice Around the Tree,58912.78492877277,0.576632,140.5546875
d657,657,Twice Around the Tree,84981.21231163216,0.630999,143.59765625
u724,724,Twice Around the Tree,75949.21740022718,0.710102,165.48046875
rat783,783,Twice Around the Tree,16306.502817436709,0.879267,186.31640625
pr1002,1002,Twice Around the Tree,448428.9365359385,1.51075,253.9765625
u1060,1060,Twice Around the Tree,390903.63165586925,1.662564,278.93359375
vm1084,1084,Twice Around the Tree,418471.92735387234,1.92482,288.7421875
pcb1173,1173,Twice Around the Tree,102919.72636295529,2.139682,326.95703125
d1291,1291,Twice Around the Tree,94579.2086287988,2.709767,383.4765625
rl1304,1304,Twice Around the Tree,445678.12004308583,2.82006,385.21875
rl1323,1323,Twice Around the Tree,479949.87430766475,3.037178,400.5859375
nrw1379,1379,Twice Around the Tree,104026.38959048288,3.359154,453.8515625
fl1400,1400,Twice Around the Tree,34039.06182736715,3.200195,486.77734375
u1432,1432,Twice Around the Tree,291957.16889079695,3.327156,502.9765625
fl1577,1577,Twice Around the Tree,38836.561166785155,4.079159,573.91796875
d1655,1655,Twice Around the Tree,113900.30718002096,4.750056,631.72265625
vm1748,1748,Twice Around the Tree,589221.9538036606,5.330898,698.87890625
u1817,1817,Twice Around the Tree,109810.73737503335,5.70342,733.265625
rl1889,1889,Twice Around the Tree,556515.0891141638,6.329979,793.53515625
d2103,2103,Twice Around the Tree,152601.23946063413,8.305019,938.75390625
u2152,2152,Twice Around the Tree,124479.49457221612,8.128716,1001.72265625
u2319,2319,Twice Around the Tree,464400.0,9.337981,1130.0703125
pr2392,2392,Twice Around the Tree,684618.4758045906,9.802045,1196.42578125
pcb3038,3038,Twice Around the Tree,254817.51311738946,17.572365,1971.08984375
fl3795,3795,Twice Around the Tree,50123.83470914594,26.270022,2901.8515625
fnl4461,4461,Twice Around the Tree,337444.4741820016,37.519157,3944.5390625
rl5915,5915,Twice Around the Tree,1043683.473231669,75.370982,
